Specimen ID,Specimen,Sample,Sample ID,Run Time,All Abs. Count,All Count,E4 Abs. Count,Abs_count_minus_negative
26,T3_______8_5_20,91 1:50,3445,8/5/20 14:41,1093,21809,12.1,12.1
26,T3_______8_5_20,92 1:10,3446,8/5/20 14:43,2993,59352,38.9,38.9
26,T3_______8_5_20,92 1:20,3447,8/5/20 14:44,1475,29369,18.3,18.3
26,T3_______8_5_20,93 1:10,3448,8/5/20 14:45,235,4695,0.65,0.65
26,T3_______8_5_20,93,3449,8/5/20 14:47,425,8500,0.75,0.75
26,T3_______8_5_20,93(1),3568,8/5/20 14:49,488,17932,0.571,0.571
26,T3_______8_5_20,94 1:10,3450,8/5/20 14:46,3125,62021,16.3,16.3
26,T3_______8_5_20,94 1:20,3451,8/5/20 14:50,1370,27278,7.45,7.45
26,T3_______8_5_20,95 1:10,3452,8/5/20 14:51,505,10082,2.15,2.15
26,T3_______8_5_20,95 1:10 from OG,3454,8/5/20 14:53,375,7483,4.5,4.5
26,T3_______8_5_20,96 1:10,3453,8/5/20 14:55,343,6858,0.2,0.2
26,T3_______8_5_20,96 1:5,3455,8/5/20 14:56,149,2977,0.15,0.15
26,T3_______8_5_20,96,3569,8/5/20 14:57,576,11500,0.4,0.4
26,T3_______8_5_20,97 1:10,3456,8/5/20 14:58,515,10280,1.85,1.85
26,T3_______8_5_20,97 1:5,3459,8/5/20 14:59,582,11631,3.1,3.1
26,T3_______8_5_20,98 1:10,3457,8/5/20 15:00,2913,57762,11.9,11.9
26,T3_______8_5_20,99 1:10,3458,8/5/20 15:02,3739,73943,18.6,18.6
26,T3_______8_5_20,99 1:20,3480,8/5/20 15:03,1772,35284,10,10
26,T3_______8_5_20,100 1:10,3461,8/5/20 15:05,4068,80349,81.3,81.3
26,T3_______8_5_20,100 1:20,3462,8/5/20 15:06,2006,39853,44.2,44.2
26,T3_______8_5_20,102 1:10,3464,8/5/20 15:07,531,10605,2.35,2.35
26,T3_______8_5_20,102,3465,8/5/20 15:09,2912,57750,17.6,17.6
26,T3_______8_5_20,103 1:10,3466,8/5/20 15:10,4072,80433,21.3,21.3
26,T3_______8_5_20,103 1:20,3482,8/5/20 15:12,1932,38441,12.1,12.1
26,T3_______8_5_20,104 1:10,3467,8/5/20 15:13,190,3795,0.1,0.1
26,T3_______8_5_20,104,3483,8/5/20 15:14,375,7469,1.15,1.15
26,T3_______8_5_20,104(1),3570,8/5/20 15:15,425,18275,0.325,0.325
26,T3_______8_5_20,105 1:10,3468,8/5/20 15:17,3663,72423,9.85,9.85
26,T3_______8_5_20,106 1:10,3470,8/5/20 15:26,579,11551,2.65,2.65
26,T3_______8_5_20,106 1:5,3484,8/5/20 15:32,862,17206,4.7,4.7
26,T3_______8_5_20,107 1:10,3471,8/5/20 15:27,2774,55041,15,15
